algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
agglomerative,4,5.0,0.40522578,0.9685749200672321,454.6122,5,0.0,0.9375291709314227,0.6127333333333334,,,,ward
agglomerative,4,5.0,0.4994851,0.5782331164308427,299.51212,5,0.0,0.9375291709314227,0.6127333333333334,,,,average
agglomerative,4,10.0,0.44318172,0.6380874784205467,514.96655,10,0.0,0.9375291709314227,0.6127333333333334,,,,ward
agglomerative,4,10.0,0.47941235,0.6415317321276552,280.10425,10,0.0,0.9375291709314227,0.6127333333333334,,,,average
agglomerative,4,15.0,0.4734655,0.5685013542275822,744.20575,15,0.0,0.9375291709314227,0.6127333333333334,,,,ward
agglomerative,4,15.0,0.37299505,0.6750622054003502,331.9614,15,0.0,0.9375291709314227,0.6127333333333334,,,,average
kmeans,2,5.0,0.4527492,0.694552941815653,842.03625,5,0.0,0.9327238485158649,0.6072666666666666,,,,
kmeans,2,10.0,0.4890323,0.677646127662428,911.0341,10,0.0,0.9327238485158649,0.6072666666666666,,,,
kmeans,2,15.0,0.48043677,0.6830508824069245,1137.7043,15,0.0,0.9327238485158649,0.6072666666666666,,,,
dbscan,2,,0.6932455,1.3986930982415875,622.21735,77,0.051,0.9327238485158649,0.6072666666666666,0.3,5.0,,
dbscan,2,,0.2624602,1.8459577079829441,56.069984,40,0.351,0.9327238485158649,0.6072666666666666,0.3,10.0,,
dbscan,2,,0.60385334,0.6269263567053244,3350.724,52,0.009,0.9327238485158649,0.6072666666666666,0.5,5.0,,
dbscan,2,,0.42122746,2.3415044284910884,97.10516,36,0.166,0.9327238485158649,0.6072666666666666,0.5,10.0,,
dbscan,2,,0.5821167,0.3816266256335491,3122.8306,38,0.004,0.9327238485158649,0.6072666666666666,0.7,5.0,,
dbscan,2,,0.48863032,3.792516836873359,189.85866,29,0.072,0.9327238485158649,0.6072666666666666,0.7,10.0,,
hdbscan,2,,0.47572803,1.8741054217500421,121.41524,37,0.165,0.9327238485158649,0.6072666666666666,,,10.0,
hdbscan,2,,0.30021638,2.3480793880222386,82.61384,18,0.276,0.9327238485158649,0.6072666666666666,,,20.0,
hdbscan,2,,0.34175697,2.365921264339893,190.22487,2,0.271,0.9327238485158649,0.6072666666666666,,,50.0,
agglomerative,2,5.0,0.4444624,0.7117537901969928,794.76953,5,0.0,0.9327238485158649,0.6072666666666666,,,,ward
agglomerative,2,5.0,0.47072577,0.6905439613602162,455.09625,5,0.0,0.9327238485158649,0.6072666666666666,,,,average
agglomerative,2,10.0,0.445711,0.660264452632685,882.5412,10,0.0,0.9327238485158649,0.6072666666666666,,,,ward
agglomerative,2,10.0,0.37034258,1.0046577759989666,351.37177,10,0.0,0.9327238485158649,0.6072666666666666,,,,average
agglomerative,2,15.0,0.4749401,0.6856452173853587,1118.4646,15,0.0,0.9327238485158649,0.6072666666666666,,,,ward
agglomerative,2,15.0,0.2621933,1.3112462936786955,272.2539,15,0.0,0.9327238485158649,0.6072666666666666,,,,average
